경도,국가,국명,분류체계,위도,지역,채집일,학명,해역
125.861763,대한민국,두드러기어리게,Pleocyemata > Anomura > Lithodoidea > Hapalogastridae > Oedignathus > Oedignathus inermis,36.663559,대한민국 충청남도 태안군 근흥면 궁시도,2021-04-27,Oedignathus inermis,서해
125.861763,대한민국,두드러기어리게,Pleocyemata > Anomura > Lithodoidea > Hapalogastridae > Oedignathus > Oedignathus inermis,36.663559,대한민국 충청남도 태안군 근흥면 궁시도,2021-04-27,Oedignathus inermis,서해
125.861763,대한민국,두드러기어리게,Pleocyemata > Anomura > Lithodoidea > Hapalogastridae > Oedignathus > Oedignathus inermis,36.663559,대한민국 충청남도 태안군 근흥면 궁시도,2021-04-27,Oedignathus inermis,서해
129.301834,대한민국,,Roseovarius nanhaiticus,37.686184,대한민국 동해,2014-02-12,Roseovarius nanhaiticus,동해중부
126.199356,대한민국,,Sididae > Penilia > Penilia avirostris,34.324341,대한민국 전라남도 진도군,2011-08-20,Penilia avirostris,남해서부
129.301834,대한민국,,Sphingomonadales > Erythrobacteraceae > Qipengyuania > Qipengyuania citrea,37.686184,대한민국 동해,2014-02-12,Qipengyuania citrea,동해중부
126.124420,대한민국,,Sididae > Penilia > Penilia avirostris,34.286308,대한민국 전라남도 진도군,2011-08-20,Penilia avirostris,남해서부
129.301834,대한민국,,Flavobacterium piscis,37.686184,대한민국 동해,2014-02-12,Flavobacterium piscis,동해중부
129.301834,대한민국,,Winogradskyella ulvae,37.686184,대한민국 동해,2014-02-12,Winogradskyella ulvae,동해중부
129.301834,대한민국,,Flavobacterium crassostreae,37.686184,대한민국 동해,2014-02-12,Flavobacterium crassostreae,동해중부
127.605728,대한민국,,Sididae > Penilia > Penilia avirostris,34.923233,대한민국 전라남도 광양시,2011-09-09,Penilia avirostris,남해서부
127.842743,대한민국,,Sididae > Penilia > Penilia avirostris,34.912575,대한민국 전라남도 광양시,2011-09-09,Penilia avirostris,남해동부
126.865929,대한민국,무늬깜정이,Teleostei > Perciformes > Kyphosidae > Kyphosus > Kyphosus bigibbus,33.557507,대한민국 제주특별자치도 제주시,2014-09-06,Kyphosus bigibbus,남해서부
126.376389,대한민국,무점황놀래기,Teleostei > Perciformes > Labridae > Pseudolabrus > Pseudolabrus eoethinus,33.233166,대한민국 제주특별자치도 서귀포시,2014-09-15,Pseudolabrus eoethinus,남해서부
126.160950,대한민국,,Paracalanus parvus parvus,34.342258,대한민국 전라남도 진도군,2011-05-15,Paracalanus parvus parvus,남해서부
126.258904,대한민국,오츠카작은노벌레,Odontacartia > Acartia (Odontacartia) ohtsukai,37.718468,대한민국 인천광역시 강화군,2011-08-01,Acartia (Odontacartia) ohtsukai,서해
126.403656,대한민국,오츠카작은노벌레,Odontacartia > Acartia (Odontacartia) ohtsukai,35.722282,대한민국 전라북도 군산시,2011-05-20,Acartia (Odontacartia) ohtsukai,서해
