source_name,source_url,reference_date,item_type,name_ko,category,region,address,latitude,longitude,summary,story_use,mission_use,age_tags,keywords,경도,국가,국명,분류체계,위도,지역,채집일,학명,해역
국립해양생물자원관_해양생물 채집 공간정보,https://www.data.go.kr/data/15151832/openapi.do,2013-03-15,marine_life,별상어,Triakidae > Mustelus > Mustelus manazo,대한민국 남해,대한민국; 서해; 대한민국 남해,34.228333,125.239494,별상어은(는) 서해에서 관찰·채집된 해양생물 소재로 사용할 수 있다.,해양생물 캐릭터와 바다 탐험 동화 소재,"생물의 이름, 서식 해역, 분류를 활용한 관찰 질문과 퀴즈",5-7;8-10,해양생물;별상어;Mustelus;manazo;Triakidae;>;서해;대한민국;남해,125.239494,대한민국,별상어,Triakidae > Mustelus > Mustelus manazo,34.228333,대한민국 남해,2013-03-15,Mustelus manazo,서해
국립해양생물자원관_해양생물 채집 공간정보,https://www.data.go.kr/data/15151832/openapi.do,2018-09-24,marine_life,Brevundimonas vesicularis,Pseudomonadota > Alphaproteobacteria > Caulobacterales > Caulobacteraceae > Brevundimonas > Brevundimonas vesicularis,대한민국 서해,대한민국; 서해; 대한민국 서해,37.240002,126.563889,Brevundimonas vesicularis은(는) 서해에서 관찰·채집된 해양생물 소재로 사용할 수 있다.,해양생물 캐릭터와 바다 탐험 동화 소재,"생물의 이름, 서식 해역, 분류를 활용한 관찰 질문과 퀴즈",5-7;8-10,해양생물;Brevundimonas;vesicularis;Pseudomonadota;>;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;서해;대한민국,126.563889,대한민국,,Pseudomonadota > Alphaproteobacteria > Caulobacterales > Caulobacteraceae > Brevundimonas > Brevundimonas vesicularis,37.240002,대한민국 서해,2018-09-24,Brevundimonas vesicularis,서해
국립해양생물자원관_해양생물 채집 공간정보,https://www.data.go.kr/data/15151832/openapi.do,2018-06-19,marine_life,Brucella anthropi,Pseudomonadota > Alphaproteobacteria > Hyphomicrobiales > Brucellaceae > Brucella > Brucella anthropi,대한민국 서해 송림해수욕장,대한민국; 서해; 대한민국 서해 송림해수욕장,36.026943,126.662224,Brucella anthropi은(는) 서해에서 관찰·채집된 해양생물 소재로 사용할 수 있다.,해양생물 캐릭터와 바다 탐험 동화 소재,"생물의 이름, 서식 해역, 분류를 활용한 관찰 질문과 퀴즈",5-7;8-10,해양생물;Brucella;anthropi;Pseudomonadota;>;Alphaproteobacteria;Hyphomicrobiales;Brucellaceae;서해;대한민국;송림해수욕장,126.662224,대한민국,,Pseudomonadota > Alphaproteobacteria > Hyphomicrobiales > Brucellaceae > Brucella > Brucella anthropi,36.026943,대한민국 서해 송림해수욕장,2018-06-19,Brucella anthropi,서해
국립해양생물자원관_해양생물 채집 공간정보,https://www.data.go.kr/data/15151832/openapi.do,2014-05-23,marine_life,Pseudoalteromonas distincta,Pseudomonadota > Gammaproteobacteria > Alteromonadales > Pseudoalteromonadaceae > Pseudoalteromonas > Pseudoalteromonas distincta,대한민국 서해 영흥면 선재리_측도,대한민국; 서해; 대한민국 서해 영흥면 선재리_측도,37.241669,126.518616,Pseudoalteromonas distincta은(는) 서해에서 관찰·채집된 해양생물 소재로 사용할 수 있다.,해양생물 캐릭터와 바다 탐험 동화 소재,"생물의 이름, 서식 해역, 분류를 활용한 관찰 질문과 퀴즈",5-7;8-10,해양생물;Pseudoalteromonas;distincta;Pseudomonadota;>;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;서해;대한민국;영흥면;선재리_측도,126.518616,대한민국,,Pseudomonadota > Gammaproteobacteria > Alteromonadales > Pseudoalteromonadaceae > Pseudoalteromonas > Pseudoalteromonas distincta,37.241669,대한민국 서해 영흥면 선재리_측도,2014-05-23,Pseudoalteromonas distincta,서해
국립해양생물자원관_해양생물 채집 공간정보,https://www.data.go.kr/data/15151832/openapi.do,2016-08-10,marine_life,Alkalihalobacillus algicola,Caryophanales > Bacillaceae > Alkalihalobacillus > Alkalihalobacillus algicola,대한민국 서해 영흥면 선재리_측도,대한민국; 서해; 대한민국 서해 영흥면 선재리_측도,37.241669,126.518616,Alkalihalobacillus algicola은(는) 서해에서 관찰·채집된 해양생물 소재로 사용할 수 있다.,해양생물 캐릭터와 바다 탐험 동화 소재,"생물의 이름, 서식 해역, 분류를 활용한 관찰 질문과 퀴즈",5-7;8-10,해양생물;Alkalihalobacillus;algicola;Caryophanales;>;Bacillaceae;서해;대한민국;영흥면;선재리_측도,126.518616,대한민국,,Caryophanales > Bacillaceae > Alkalihalobacillus > Alkalihalobacillus algicola,37.241669,대한민국 서해 영흥면 선재리_측도,2016-08-10,Alkalihalobacillus algicola,서해
국립해양생물자원관_해양생물 채집 공간정보,https://www.data.go.kr/data/15151832/openapi.do,2012-06-28,marine_life,넓은게발,Rhodophyta > Florideophyceae > Corallinales > Lithophyllaceae > Amphiroa > Amphiroa anceps,대한민국 경상남도 통영시 사량면,대한민국; 남해동부; 대한민국 경상남도 통영시 사량면,34.876446,128.288452,넓은게발은(는) 남해동부에서 관찰·채집된 해양생물 소재로 사용할 수 있다.,해양생물 캐릭터와 바다 탐험 동화 소재,"생물의 이름, 서식 해역, 분류를 활용한 관찰 질문과 퀴즈",5-7;8-10,해양생물;넓은게발;Amphiroa;anceps;Rhodophyta;>;Florideophyceae;Corallinales;Lithophyllaceae;남해동부;대한민국;경상남도,128.288452,대한민국,넓은게발,Rhodophyta > Florideophyceae > Corallinales > Lithophyllaceae > Amphiroa > Amphiroa anceps,34.876446,대한민국 경상남도 통영시 사량면,2012-06-28,Amphiroa anceps,남해동부
국립해양생물자원관_해양생물 채집 공간정보,https://www.data.go.kr/data/15151832/openapi.do,2010-07-26,marine_life,동양예쁜털배벌레,Thaumastodermatidae > Ptychostomella > Ptychostomella orientalis,대한민국 경상북도 울진군 근남면,대한민국; 동해중부; 대한민국 경상북도 울진군 근남면,36.969563,129.413651,동양예쁜털배벌레은(는) 동해중부에서 관찰·채집된 해양생물 소재로 사용할 수 있다.,해양생물 캐릭터와 바다 탐험 동화 소재,"생물의 이름, 서식 해역, 분류를 활용한 관찰 질문과 퀴즈",5-7;8-10,해양생물;동양예쁜털배벌레;Ptychostomella;orientalis;Thaumastodermatidae;>;동해중부;대한민국;경상북도;울진군;근남면,129.413651,대한민국,동양예쁜털배벌레,Thaumastodermatidae > Ptychostomella > Ptychostomella orientalis,36.969563,대한민국 경상북도 울진군 근남면,2010-07-26,Ptychostomella orientalis,동해중부
국립해양생물자원관_해양생물 채집 공간정보,https://www.data.go.kr/data/15151832/openapi.do,2010-12-20,marine_life,Vibrio lentus,Vibrionales > Vibrionaceae > Vibrio > Vibrio lentus,대한민국 경상북도 울진군,대한민국; 동해중부; 대한민국 경상북도 울진군,37.100739,129.381134,Vibrio lentus은(는) 동해중부에서 관찰·채집된 해양생물 소재로 사용할 수 있다.,해양생물 캐릭터와 바다 탐험 동화 소재,"생물의 이름, 서식 해역, 분류를 활용한 관찰 질문과 퀴즈",5-7;8-10,해양생물;Vibrio;lentus;Vibrionales;>;Vibrionaceae;동해중부;대한민국;경상북도;울진군,129.381134,대한민국,,Vibrionales > Vibrionaceae > Vibrio > Vibrio lentus,37.100739,대한민국 경상북도 울진군,2010-12-20,Vibrio lentus,동해중부
국립해양생물자원관_해양생물 채집 공간정보,https://www.data.go.kr/data/15151832/openapi.do,2010-08-12,marine_life,Halomonas olivaria,Pseudomonadota > Gammaproteobacteria > Oceanospirillales > Halomonadaceae > Halomonas > Halomonas olivaria,대한민국 충청남도 태안군,대한민국; 서해; 대한민국 충청남도 태안군,36.886307,126.178467,Halomonas olivaria은(는) 서해에서 관찰·채집된 해양생물 소재로 사용할 수 있다.,해양생물 캐릭터와 바다 탐험 동화 소재,"생물의 이름, 서식 해역, 분류를 활용한 관찰 질문과 퀴즈",5-7;8-10,해양생물;Halomonas;olivaria;Pseudomonadota;>;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;서해;대한민국;충청남도;태안군,126.178467,대한민국,,Pseudomonadota > Gammaproteobacteria > Oceanospirillales > Halomonadaceae > Halomonas > Halomonas olivaria,36.886307,대한민국 충청남도 태안군,2010-08-12,Halomonas olivaria,서해
국립해양생물자원관_해양생물 채집 공간정보,https://www.data.go.kr/data/15151832/openapi.do,2017-04-28,marine_life,부풀음벌집소모충,Tintinnida > Rhabdonellidae > Schmidingerella > Schmidingerella arcuata,대한민국 강원도 강릉시 강릉항,대한민국; 동해중부; 대한민국 강원도 강릉시 강릉항,37.772167,128.951157,부풀음벌집소모충은(는) 동해중부에서 관찰·채집된 해양생물 소재로 사용할 수 있다.,해양생물 캐릭터와 바다 탐험 동화 소재,"생물의 이름, 서식 해역, 분류를 활용한 관찰 질문과 퀴즈",5-7;8-10,해양생물;부풀음벌집소모충;Schmidingerella;arcuata;Tintinnida;>;Rhabdonellidae;동해중부;대한민국;강원도;강릉시;강릉항,128.951157,대한민국,부풀음벌집소모충,Tintinnida > Rhabdonellidae > Schmidingerella > Schmidingerella arcuata,37.772167,대한민국 강원도 강릉시 강릉항,2017-04-28,Schmidingerella arcuata,동해중부
